Species,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,
Iris-virginica,6.4,3.1,5.5,1.8,0.365221397
Iris-virginica,6.5,3,5.5,1.8,0.760562383
Iris-versicolor,6.3,2.3,4.4,1.3,0.404623523
Iris-versicolor,6.3,3.3,4.7,1.6,0.601832272
Iris-setosa,5.2,3.4,1.4,0.2,0.824538909
Iris-setosa,4.4,3,1.3,0.2,0.991232878
Iris-virginica,6.4,2.7,5.3,1.9,0.581084999
Iris-virginica,7.1,3,5.9,2.1,0.579891609
Iris-virginica,6.2,3.4,5.4,2.3,0.780126465
Iris-virginica,6.7,3,5.2,2.3,0.573419101
Iris-versicolor,5.8,2.6,4,1.2,0.927215827
Iris-setosa,4.7,3.2,1.3,0.2,0.325333751
Iris-setosa,4.4,3.2,1.3,0.2,0.222021421
Iris-versicolor,6.5,2.8,4.6,1.5,0.340032182
Iris-virginica,7.4,2.8,6.1,1.9,0.914201482
Iris-setosa,4.8,3.4,1.6,0.2,0.224507451
Iris-setosa,4.6,3.2,1.4,0.2,0.452109764
Iris-virginica,6.7,2.5,5.8,1.8,0.544938057
Iris-versicolor,5.6,3,4.5,1.5,0.787366624
Iris-virginica,6.7,3.3,5.7,2.5,0.231810412
Iris-versicolor,6.6,3,4.4,1.4,0.691832841
Iris-virginica,6.5,3.2,5.1,2,0.469892177
Iris-versicolor,6,2.2,4,1,0.446776689
Iris-versicolor,5.5,2.5,4,1.3,0.033546456
Iris-setosa,5.4,3.9,1.3,0.4,0.616243934
Iris-setosa,5.1,3.8,1.9,0.4,0.060673476
Iris-versicolor,5.5,2.6,4.4,1.2,0.269364412
Iris-versicolor,5.1,2.5,3,1.1,0.864225875
Iris-versicolor,4.9,2.4,3.3,1,0.6979138
Iris-virginica,7.9,3.8,6.4,2,0.297793885
Iris-setosa,5.5,3.5,1.3,0.2,0.008978653
